Jahr,Bundesland,Quartal,Personenkilometer
2019,Baden-Württemberg,Q1,2220595000
2019,Baden-Württemberg,Q2,2112498000
2019,Baden-Württemberg,Q3,2028843000
2019,Baden-Württemberg,Q4,2215531000
2019,Bayern,Q1,2605149000
2019,Bayern,Q2,2563296000
2019,Bayern,Q3,2432775000
2019,Bayern,Q4,2669593000
2019,Berlin,Q1,2392819000
2019,Berlin,Q2,2341847000
2019,Berlin,Q3,2417560000
2019,Berlin,Q4,2590563000
2019,Brandenburg,Q1,308390000
2019,Brandenburg,Q2,317758000
2019,Brandenburg,Q3,266341000
2019,Brandenburg,Q4,350375000
2019,Bremen,Q1,259395000
2019,Bremen,Q2,231348000
2019,Bremen,Q3,209407000
2019,Bremen,Q4,227930000
2019,Hamburg,Q1,1168831000
2019,Hamburg,Q2,1166518000
2019,Hamburg,Q3,1172993000
2019,Hamburg,Q4,1238742000
2019,Hessen,Q1,9447999000
2019,Hessen,Q2,9539223000
2019,Hessen,Q3,9678616000
2019,Hessen,Q4,9888143000
2019,Mecklenburg-Vorpommern,Q1,394719000
2019,Mecklenburg-Vorpommern,Q2,435697000
2019,Mecklenburg-Vorpommern,Q3,410595000
2019,Mecklenburg-Vorpommern,Q4,438167000
2019,Niedersachsen,Q1,1765916000
2019,Niedersachsen,Q2,1769315000
2019,Niedersachsen,Q3,1542764000
2019,Niedersachsen,Q4,1629070000
2019,Nordrhein-Westfalen,Q1,3770391000
2019,Nordrhein-Westfalen,Q2,3724565000
2019,Nordrhein-Westfalen,Q3,3603681000
2019,Nordrhein-Westfalen,Q4,3731424000
2019,Rheinland-Pfalz,Q1,671431000
2019,Rheinland-Pfalz,Q2,637773000
2019,Rheinland-Pfalz,Q3,633390000
2019,Rheinland-Pfalz,Q4,718779000
2019,Saarland,Q1,94229000
2019,Saarland,Q2,92438000
2019,Saarland,Q3,90764000
2019,Saarland,Q4,89793000
2019,Sachsen,Q1,737668000
2019,Sachsen,Q2,701205000
2019,Sachsen,Q3,626101000
2019,Sachsen,Q4,703773000
2019,Sachsen-Anhalt,Q1,478652000
2019,Sachsen-Anhalt,Q2,435971000
2019,Sachsen-Anhalt,Q3,483028000
2019,Sachsen-Anhalt,Q4,541025000
2019,Schleswig-Holstein,Q1,453696000
2019,Schleswig-Holstein,Q2,450133000
2019,Schleswig-Holstein,Q3,430891000
2019,Schleswig-Holstein,Q4,442718000
2019,Thüringen,Q1,286096000
2019,Thüringen,Q2,278371000
2019,Thüringen,Q3,241255000
2019,Thüringen,Q4,294698000
2020,Baden-Württemberg,Q1,1824751000
2020,Baden-Württemberg,Q2,1059191000
2020,Baden-Württemberg,Q3,1306494000
2020,Baden-Württemberg,Q4,1309544000
2020,Bayern,Q1,2263486000
2020,Bayern,Q2,1153123000
2020,Bayern,Q3,1640808000
2020,Bayern,Q4,1674469000
2020,Berlin,Q1,2026155000
2020,Berlin,Q2,1199261000
2020,Berlin,Q3,1657677000
2020,Berlin,Q4,1569500000
2020,Brandenburg,Q1,316548000
2020,Brandenburg,Q2,268325000
2020,Brandenburg,Q3,247509000
2020,Brandenburg,Q4,320712000
2020,Bremen,Q1,198221000
2020,Bremen,Q2,139038000
2020,Bremen,Q3,105550000
2020,Bremen,Q4,142959000
2020,Hamburg,Q1,1080537000
2020,Hamburg,Q2,490502000
2020,Hamburg,Q3,808590000
2020,Hamburg,Q4,832441000
2020,Hessen,Q1,7949270000
2020,Hessen,Q2,3403982000
2020,Hessen,Q3,6017147000
2020,Hessen,Q4,5052291000
2020,Mecklenburg-Vorpommern,Q1,347569000
2020,Mecklenburg-Vorpommern,Q2,251208000
2020,Mecklenburg-Vorpommern,Q3,335947000
2020,Mecklenburg-Vorpommern,Q4,292866000
2020,Niedersachsen,Q1,1497844000
2020,Niedersachsen,Q2,742942000
2020,Niedersachsen,Q3,1143251000
2020,Niedersachsen,Q4,1034952000
2020,Nordrhein-Westfalen,Q1,3581522000
2020,Nordrhein-Westfalen,Q2,2511536000
2020,Nordrhein-Westfalen,Q3,3036636000
2020,Nordrhein-Westfalen,Q4,2737385000
2020,Rheinland-Pfalz,Q1,607841000
2020,Rheinland-Pfalz,Q2,416299000
2020,Rheinland-Pfalz,Q3,506388000
2020,Rheinland-Pfalz,Q4,507917000
2020,Saarland,Q1,87767000
2020,Saarland,Q2,61984000
2020,Saarland,Q3,79933000
2020,Saarland,Q4,75423000
2020,Sachsen,Q1,631156000
2020,Sachsen,Q2,475490000
2020,Sachsen,Q3,523533000
2020,Sachsen,Q4,539606000
2020,Sachsen-Anhalt,Q1,455842000
2020,Sachsen-Anhalt,Q2,350728000
2020,Sachsen-Anhalt,Q3,399852000
2020,Sachsen-Anhalt,Q4,421315000
2020,Schleswig-Holstein,Q1,381649000
2020,Schleswig-Holstein,Q2,230515000
2020,Schleswig-Holstein,Q3,309159000
2020,Schleswig-Holstein,Q4,190310000
2020,Thüringen,Q1,264119000
2020,Thüringen,Q2,179571000
2020,Thüringen,Q3,180142000
2020,Thüringen,Q4,204490000
